txn_id,member_id,ts,amount,channel,product,counterparty,geo,narrative,branch,device_id
T100003316,M100141,2025-08-12 11:27:53,1457631.0,MOBILE,MOBILE,Mclaughlin-Novak,KE-NKR,overnight activity,Nairobi HQ,dev-hQlHqXs
T100003317,M100141,2025-08-06 04:40:33,473334.0,TELLER,FIXED,White-Marquez,KE-NRB,Their growth he white former process.,Thika,dev-vOSgFGzr
T100003318,M100141,2025-06-15 05:05:57,-108241.0,MOBILE,MOBILE,Saunders-Harvey,KE-NRB,Mr source including sure paper.,Thika,dev-HxzOlEH
T100003319,M100141,2025-04-30 18:25:39,-92631.0,TELLER,LOAN,Coleman-Walter,KE-KSM,Ball prove organization movement production.,Nairobi HQ,dev-NUhHtwf
T100003320,M100141,2025-04-28 21:02:11,82356.0,CASH,MOBILE,"Young, Fowler and Jones",KE-NRB,Enjoy dinner reveal once add big.,Eldoret,dev-BSkQQDDx
T100003321,M100141,2025-03-21 07:43:40,160295.0,MOBILE,CURRENT,"Robinson, King and Murphy",KE-MSA,Result her theory election reach.,Nyeri,dev-CqlfmOQi
T100003322,M100141,2025-02-06 10:48:36,54080.0,AGENT,SAVINGS,Murray-Gutierrez,KE-NRB,Development country wide really development.,Mombasa,dev-hLutCUw
T100003323,M100141,2025-09-04 15:30:12,-1097182.0,AGENT,LOAN,Meadows LLC,KE-NYR,Newspaper remain wrong I point close.,Nakuru,dev-pTwDDXVi
T100003324,M100141,2025-09-09 10:53:25,365075.0,TELLER,LOAN,"Wagner, Richardson and Nolan",KE-MSA,Thank ago specific plan car both another.,Nakuru,dev-attokC
T100003325,M100141,2025-09-05 18:18:38,276977.0,MOBILE,MOBILE,Tate Inc,KE-MSA,Degree friend visit board.,Nakuru,dev-mpPoHuE
T100003326,M100141,2025-04-17 07:47:40,212783.0,CARD,FIXED,Singh Inc,KE-NKR,Style around should party.,Mombasa,dev-znxAqg
T100003327,M100141,2025-09-26 09:59:08,-232496.0,CARD,MOBILE,Wood Group,KE-NKR,Ask item call.,Eldoret,dev-oYiLwGC
T100003328,M100141,2025-10-21 12:42:59,64734.0,CARD,SAVINGS,Hardy Inc,KE-NRB,Be government tree former different.,Nairobi HQ,dev-RbIZGAo
T100003329,M100141,2025-08-22 05:33:22,536929.0,CARD,CURRENT,Brooks Ltd,KE-NKR,Republican serve laugh party.,Nyeri,dev-NlDzhJ
T100003330,M100141,2025-07-15 22:10:40,-87055.0,CASH,CURRENT,Brown-Jackson,KE-NKR,Other president even step fast activity.,Eldoret,dev-lyHRTM
T100003331,M100141,2025-04-24 11:48:53,332652.0,AGENT,FIXED,Mccarty PLC,KE-NKR,Civil be trade peace worry travel.,Kisumu,dev-BzMajZl
T100003332,M100141,2025-04-20 00:16:43,-118518.0,TELLER,CURRENT,"Crawford, Garrison and Carroll",KE-THK,Cold building measure drop address.,Nakuru,dev-edBWnm
T100003333,M100141,2025-08-21 16:32:49,-384663.0,MOBILE,LOAN,Gregory LLC,KE-NRB,Take civil girl toward.,Nairobi HQ,dev-kzlxNu
T100003334,M100141,2025-09-22 17:06:22,176979.0,CARD,SAVINGS,Parker and Sons,KE-NRB,Test past create.,Mombasa,dev-FMckFJs
T100003335,M100141,2025-09-27 17:17:25,408408.0,MOBILE,MOBILE,Oliver-Brooks,KE-MSA,Executive dark ever.,Kisumu,dev-LOPTGh
T100003336,M100141,2025-09-20 22:41:24,-137150.0,AGENT,MOBILE,Thomas Inc,KE-NKR,Though agree last.,Nairobi HQ,dev-AKTkEYPc
T100003337,M100142,2025-04-15 21:43:16,-65961.0,CARD,SAVINGS,"Smith, Bush and Perez",KE-KSM,Individual seem exist sure themselves.,Nyeri,dev-CrRbfCRp
T100003338,M100142,2025-07-09 01:35:30,52245.0,TELLER,LOAN,Sanchez LLC,KE-THK,Others how you.,Mombasa,dev-quBwDCuJ
T100003339,M100142,2025-03-28 13:59:51,964436.0,AGENT,CURRENT,"Levine, Vasquez and Cruz",KE-NRB,Product woman dark change crime.,Eldoret,dev-HwYLsck
T100003340,M100142,2025-07-18 09:04:23,-182874.0,CASH,MOBILE,Rice LLC,KE-KSM,Agent treatment recent know.,Nairobi HQ,dev-dZiRkTc
T100003341,M100142,2025-10-02 17:15:27,174867.0,CARD,FIXED,Compton Inc,KE-KSM,Attention thank treatment determine perform.,Kisumu,dev-vWJecrj
T100003342,M100142,2025-05-16 08:00:13,-248943.0,CASH,FIXED,Whitney-Mendez,KE-KSM,Machine pretty stuff.,Nairobi HQ,dev-hBKkDYV
T100003343,M100142,2025-04-01 06:37:13,-53183.0,CASH,SAVINGS,Dudley-Hudson,KE-THK,Common eight put son.,Nairobi HQ,dev-iEQHpHn
T100003344,M100142,2025-04-25 04:27:33,128912.0,CASH,MOBILE,"Sandoval, Johnson and James",KE-NYR,Growth light account question center.,Kisumu,dev-niUnMIki
T100003345,M100142,2025-03-22 13:59:16,245591.0,TELLER,CURRENT,Cortez-Thompson,KE-NRB,Girl positive why.,Thika,dev-Aoiucs
T100003346,M100142,2025-06-16 04:11:45,-252202.0,TELLER,CURRENT,Pena PLC,KE-EDL,Free argue as.,Thika,dev-BJnQCb
T100003347,M100142,2025-09-17 12:54:26,-789550.0,AGENT,CURRENT,White-Lopez,KE-EDL,Describe for say describe.,Thika,dev-aFXsQu
T100003348,M100142,2025-03-04 13:57:00,421978.0,AGENT,SAVINGS,Robertson and Sons,KE-NKR,Partner sport catch room.,Kisumu,dev-mqquxA
T100003349,M100142,2025-08-24 02:21:11,370399.0,MOBILE,FIXED,"Randall, Chaney and Terry",KE-EDL,Career bring respond.,Nakuru,dev-GvPlwCIG
T100003350,M100142,2025-09-03 14:43:48,125189.0,TELLER,CURRENT,Hogan-Diaz,KE-NYR,But think citizen public.,Eldoret,dev-JMSvWlT
T100003351,M100142,2025-10-08 05:47:07,-212421.0,CASH,FIXED,Hall and Sons,KE-KSM,So guess someone.,Mombasa,dev-xiNZMQjP
T100003352,M100142,2025-10-16 07:33:08,515926.0,AGENT,MOBILE,"Williams, Spence and Carter",KE-NKR,Station speak never television.,Mombasa,dev-qPSuPOI
T100003353,M100142,2025-10-03 16:05:59,343619.0,AGENT,FIXED,Hanna-Hutchinson,KE-KSM,Debate dream collection various.,Mombasa,dev-uzaPSQFt
T100003354,M100142,2025-05-12 11:13:00,215705.0,MOBILE,CURRENT,Garcia PLC,KE-EDL,The exactly coach theory red.,Nakuru,dev-UWRaHsa
T100003355,M100143,2025-03-24 17:09:01,-162556.0,CASH,CURRENT,Hernandez PLC,KE-THK,Economic do tree tell.,Mombasa,dev-AxrQyv
T100003356,M100143,2025-10-15 11:04:41,91725.0,CASH,LOAN,"Keller, Walters and Castaneda",KE-EDL,Those century discuss miss.,Nairobi HQ,dev-TeZiJNXc
T100003357,M100143,2025-06-24 14:37:47,80564.0,MOBILE,MOBILE,"Bailey, Wallace and Ritter",KE-KSM,Girl feeling five significant chair.,Nyeri,dev-wTYzWuCU
T100003358,M100143,2025-04-23 09:04:34,974953.0,CASH,MOBILE,Ward-Williams,KE-THK,Activity floor enjoy political last.,Nairobi HQ,dev-YPwpiUus
T100003359,M100143,2025-03-29 03:40:38,-59807.0,CASH,CURRENT,Miller-Frye,KE-NRB,Pick we return participant.,Nyeri,dev-NVQUNNXv
T100003360,M100143,2025-07-27 15:35:41,426679.0,AGENT,MOBILE,"Murphy, West and Phillips",KE-NYR,Couple cell try guy.,Nyeri,dev-ZWBMhnB
T100003361,M100143,2025-04-04 17:19:00,-117489.0,TELLER,MOBILE,Ochoa-White,KE-EDL,Box according increase some lawyer.,Eldoret,dev-iAqjxxrb
T100003362,M100143,2025-09-25 11:01:47,-513083.0,AGENT,SAVINGS,Hernandez Inc,KE-NRB,Stage hold soon reach three.,Nakuru,dev-XcCENw
T100003363,M100143,2025-10-09 10:35:58,37557.0,TELLER,FIXED,Chandler PLC,KE-NKR,In collection positive employee both capital.,Mombasa,dev-EamalaHE
T100003364,M100143,2025-04-21 16:11:01,646587.0,MOBILE,SAVINGS,"Coleman, Russell and Mcbride",KE-THK,Meeting produce business.,Nakuru,dev-HrQtGevv
T100003365,M100143,2025-08-13 17:54:08,-355151.0,TELLER,LOAN,Johnson Group,KE-KSM,overnight activity,Thika,dev-ZROHnn
T100003366,M100143,2025-03-24 18:53:19,362644.0,CASH,FIXED,Arnold-Hinton,KE-NRB,Movie price less effect.,Nyeri,dev-CPlzcP
T100003367,M100143,2025-10-19 22:40:24,182404.0,AGENT,LOAN,Coleman LLC,KE-MSA,Memory group theory learn east.,Kisumu,dev-FiLEqY
T100003368,M100143,2025-06-17 06:11:49,-237308.0,CARD,LOAN,Castro LLC,KE-EDL,Station west true.,Thika,dev-OkJCPXnX
T100003369,M100143,2025-06-18 18:52:45,172299.0,CASH,SAVINGS,Day-Mcdaniel,KE-KSM,Media fire budget prepare hotel.,Kisumu,dev-DqMYPm
T100003370,M100143,2025-02-13 22:44:08,94712.0,CARD,LOAN,Smith PLC,KE-KSM,From training claim.,Mombasa,dev-kPVssznF
T100003371,M100143,2025-03-10 03:14:19,177305.0,CARD,LOAN,"Duran, Gonzalez and Kramer",KE-NRB,Mind sometimes firm.,Nairobi HQ,dev-xDbtwm
T100003372,M100143,2025-03-22 05:07:01,195118.0,CASH,LOAN,Garcia LLC,KE-NKR,Room pick let message.,Kisumu,dev-RqhTID
T100003373,M100143,2025-06-24 14:56:10,294873.0,CASH,MOBILE,Harrison Inc,KE-NKR,Thought number collection first.,Kisumu,dev-WmBEyA
T100003374,M100143,2025-03-14 21:48:47,-128726.0,TELLER,CURRENT,Cruz-Williams,KE-NKR,Sell try responsibility industry environmental high.,Mombasa,dev-AkRSEf
T100003375,M100143,2025-10-09 11:33:32,-191301.0,AGENT,SAVINGS,Cook Ltd,KE-NKR,Teach attorney cup knowledge care apply.,Mombasa,dev-Kmkhph
T100003376,M100143,2025-09-28 00:54:57,137856.0,TELLER,CURRENT,Harvey LLC,KE-NYR,Cover expert discover program.,Nakuru,dev-vEVpZSst
T100003377,M100143,2025-09-17 02:40:21,344616.0,CARD,LOAN,Mccarthy-Rivers,KE-KSM,South strategy now wall hit decade.,Nyeri,dev-shTIBbkt
T100003378,M100143,2025-07-11 16:58:16,156764.0,TELLER,CURRENT,Thomas and Sons,KE-EDL,Interview around card few computer nation.,Nakuru,dev-OKRzUxND
T100003379,M100143,2025-04-03 19:35:45,49448.0,AGENT,CURRENT,Reed Inc,KE-KSM,Bar ago church president create responsibility.,Mombasa,dev-dTiotnld
T100003380,M100143,2025-08-03 12:17:23,142195.0,TELLER,CURRENT,Woodard Ltd,KE-THK,Have television might move manager.,Mombasa,dev-QMHrIoz
T100003381,M100143,2025-07-07 19:18:12,221669.0,CARD,FIXED,"Williams, Alvarado and Mclaughlin",KE-THK,Safe join southern difficult will.,Nakuru,dev-DHysBu
T100003382,M100144,2025-06-04 11:14:00,-271765.0,CASH,LOAN,"Smith, Kim and King",KE-MSA,College any remain space.,Kisumu,dev-OrAwnA
T100003383,M100144,2025-06-09 05:35:28,127546.0,CASH,SAVINGS,Mcdonald LLC,KE-EDL,Sign protect daughter up.,Mombasa,dev-wLxjxh
T100003384,M100144,2025-04-17 12:37:37,-472616.0,TELLER,CURRENT,Barnes-Lee,KE-KSM,Article maybe pass painting get.,Nairobi HQ,dev-TTjnZn
T100003385,M100144,2025-04-01 02:50:35,586344.0,AGENT,MOBILE,Molina-Newman,KE-NRB,Account think car remember.,Thika,dev-zqLCkM
T100003386,M100144,2025-02-15 07:42:17,332420.0,AGENT,CURRENT,Scott-Martin,KE-NKR,Personal yourself eat someone big item.,Mombasa,dev-hTaHIJd
T100003387,M100144,2025-03-24 16:14:15,218389.0,CASH,FIXED,"West, Wood and Beard",KE-KSM,overnight activity,Nyeri,dev-EPdQKe
T100003388,M100144,2025-09-09 04:21:34,74581.0,CASH,LOAN,Guerrero Inc,KE-NKR,Wear full sing.,Thika,dev-YtmuAYD
T100003389,M100144,2025-04-02 12:11:02,251640.0,MOBILE,MOBILE,"Smith, Campbell and Baker",KE-EDL,Cup them buy determine.,Thika,dev-qqHApvQp
T100003390,M100144,2025-07-30 05:26:44,-549676.0,CASH,SAVINGS,"Rogers, Jenkins and Ellison",KE-NRB,Entire management financial nearly long director.,Eldoret,dev-EoGiaiu
T100003391,M100144,2025-10-12 17:04:12,-90025.0,CASH,CURRENT,Fritz-Garcia,KE-THK,Be power pick.,Mombasa,dev-lJYWhi
T100003392,M100144,2025-04-05 08:14:40,331444.0,TELLER,LOAN,Young and Sons,KE-THK,Against condition gas.,Kisumu,dev-TRgQHubm
T100003393,M100144,2025-03-01 12:18:10,890638.0,CARD,LOAN,Allen-Thompson,KE-NYR,Technology operation hospital land big.,Kisumu,dev-tVlZhmcP
T100003394,M100144,2025-03-20 01:29:55,84504.0,TELLER,CURRENT,"Peterson, Wolf and Scott",KE-MSA,Hear upon person listen decision call.,Thika,dev-vRVmfu
T100003395,M100144,2025-02-02 07:09:39,298994.0,TELLER,CURRENT,"Jenkins, Bowen and Hernandez",KE-KSM,Put discover line trouble specific.,Eldoret,dev-kcglUXza
T100003396,M100144,2025-03-22 17:42:29,-104842.0,CARD,LOAN,"Jennings, Bryant and Weaver",KE-KSM,If find none.,Eldoret,dev-khxIdd
T100003397,M100144,2025-09-09 03:56:29,218193.0,CASH,FIXED,Barnett Inc,KE-EDL,Speak consider cold high add.,Eldoret,dev-dptLpcI
T100003398,M100144,2025-05-27 01:43:10,199254.0,AGENT,MOBILE,Allen-Nichols,KE-NKR,Good event player father seven market.,Thika,dev-XIMOwH
T100003399,M100144,2025-03-25 07:09:04,-65863.0,AGENT,SAVINGS,Hall Ltd,KE-NYR,Only quite among.,Mombasa,dev-WkVZHSFS
T100003400,M100144,2025-05-23 16:43:15,199311.0,CASH,FIXED,Bates-Ellison,KE-THK,Point also democratic until create.,Mombasa,dev-tCZqmTd
T100003401,M100144,2025-04-24 23:30:03,518991.0,CASH,MOBILE,Martin Inc,KE-MSA,Doctor issue check.,Kisumu,dev-yBPkceyT
T100003402,M100144,2025-04-09 01:07:31,-353110.0,TELLER,LOAN,Matthews and Sons,KE-NKR,Usually especially only purpose wife eye.,Nakuru,dev-AHkouZq
T100003403,M100144,2025-08-30 00:36:14,-207111.0,CARD,SAVINGS,Torres PLC,KE-THK,Bag gas right.,Eldoret,dev-pfUlLGYG
T100003404,M100144,2025-06-25 15:35:30,126061.0,MOBILE,MOBILE,"Stanley, Barton and Nelson",KE-MSA,Woman remember ok.,Nyeri,dev-spHojsa
T100003405,M100144,2025-03-26 21:06:27,-249387.0,AGENT,SAVINGS,Alvarez Group,KE-THK,overnight activity,Eldoret,dev-jvFaoZm
T100003406,M100144,2025-02-13 21:32:38,-211376.0,TELLER,SAVINGS,Brown-Haynes,KE-EDL,Training guess style yet.,Kisumu,dev-xEQtyZ
T100003407,M100145,2025-06-01 04:39:40,210766.0,CASH,FIXED,Edwards-Holden,KE-MSA,Approach newspaper its lay president wide.,Nairobi HQ,dev-ZYhjrCe
T100003408,M100145,2025-08-19 06:43:40,-333861.0,CARD,SAVINGS,Jones-Taylor,KE-NRB,Happen attention above blood high control.,Nakuru,dev-yQZGica
T100003409,M100145,2025-04-19 17:48:47,203670.0,CASH,SAVINGS,"Andrade, Bowen and Petersen",KE-KSM,Around wait environmental possible.,Eldoret,dev-usOPbKsM
T100003410,M100145,2025-09-07 11:36:54,-326545.0,MOBILE,LOAN,Harris Group,KE-NRB,Produce coach great soon season woman.,Nyeri,dev-tcvoJCu
T100003411,M100145,2025-10-14 11:14:48,339695.0,AGENT,FIXED,Castaneda-Banks,KE-MSA,Right especially left.,Kisumu,dev-atZeiJiu
T100003412,M100145,2025-07-12 23:37:26,190729.0,TELLER,LOAN,"Byrd, Gordon and Johnson",KE-NRB,Town look participant above official show.,Mombasa,dev-gywDEFMG
T100003413,M100145,2025-06-28 12:26:40,507582.0,AGENT,SAVINGS,Garcia-Flores,KE-EDL,Bank everybody apply young protect language.,Nyeri,dev-UUHORBv
T100003414,M100145,2025-05-28 02:33:15,502329.0,CASH,FIXED,"Thompson, Ortiz and Harris",KE-NRB,Success meeting list never either.,Mombasa,dev-LsoqsYv
T100003415,M100145,2025-07-05 17:07:57,-243059.0,AGENT,LOAN,Johnson-Gonzalez,KE-KSM,Could almost full evening break.,Nakuru,dev-lVZiCQMU
T100003416,M100145,2025-03-24 08:01:11,264050.0,MOBILE,MOBILE,David PLC,KE-NKR,Peace number believe article.,Thika,dev-fWQMjs
T100003417,M100145,2025-08-25 03:28:03,419107.0,AGENT,CURRENT,Gordon Ltd,KE-EDL,Break similar character method sing.,Mombasa,dev-XERQmzm
T100003418,M100145,2025-05-17 21:34:09,148148.0,CARD,FIXED,"Flores, Escobar and Powell",KE-THK,Culture guy continue.,Eldoret,dev-sKHgpUXf
T100003419,M100145,2025-07-08 00:15:45,-129130.0,MOBILE,LOAN,"Powers, Martinez and Bryant",KE-NYR,Require provide find check.,Mombasa,dev-gJMVwig
T100003420,M100145,2025-06-25 10:14:02,120382.0,MOBILE,MOBILE,"Santos, Jackson and Young",KE-MSA,Stuff kid might mind audience hair.,Nairobi HQ,dev-WwwyXjjy
T100003421,M100145,2025-09-11 08:12:30,-34107.0,CASH,MOBILE,"Carr, Wiley and Henderson",KE-EDL,Peace red any keep.,Kisumu,dev-MSnPKg
T100003422,M100145,2025-05-29 15:20:51,-33016.0,MOBILE,FIXED,"Brown, Acosta and Velez",KE-NKR,Example improve spend.,Nakuru,dev-YHQZjS
T100003423,M100145,2025-03-14 03:24:18,136826.0,AGENT,LOAN,"Lewis, Cochran and Schultz",KE-EDL,Cover brother half care.,Eldoret,dev-hYyuPs
T100003424,M100145,2025-03-28 09:11:46,107906.0,TELLER,CURRENT,Elliott-Blackwell,KE-KSM,Poor fly success project meeting particularly reduce.,Kisumu,dev-AjmwST
T100003425,M100145,2025-02-04 05:49:18,219649.0,CASH,LOAN,"Morrison, Mitchell and Hull",KE-EDL,overnight activity,Kisumu,dev-vgcBxlqt
T100003426,M100145,2025-06-01 10:15:22,63826.0,CARD,MOBILE,Chung-Mathis,KE-NKR,Recently moment authority.,Nairobi HQ,dev-TNvpMDmV
T100003427,M100145,2025-03-01 08:19:59,-685205.0,CARD,SAVINGS,Lopez-Williams,KE-MSA,School international threat garden particularly eat.,Mombasa,dev-WOQQWI
T100003428,M100146,2025-02-06 20:05:56,82148.0,AGENT,MOBILE,Adkins Inc,KE-EDL,Picture interest place focus act somebody.,Nakuru,dev-hLeWct
T100003429,M100146,2025-06-18 14:27:25,-110481.0,AGENT,LOAN,"Richardson, Johnson and Hoffman",KE-KSM,Person director film mother.,Nyeri,dev-mSzfpi
T100003430,M100146,2025-05-26 03:52:41,174485.0,CASH,SAVINGS,Wood LLC,KE-NKR,Decision I visit senior specific myself attack.,Nyeri,dev-NXOIWy
T100003431,M100146,2025-05-12 02:25:40,-280200.0,CASH,MOBILE,Jackson-Casey,KE-NRB,Oil middle game wonder.,Nairobi HQ,dev-vJKCxeIy
T100003432,M100146,2025-05-23 23:53:33,-204195.0,AGENT,LOAN,Esparza Ltd,KE-NYR,Once however sort national idea.,Kisumu,dev-uqtvHau
T100003433,M100146,2025-05-09 09:41:22,60629.0,MOBILE,LOAN,Little Group,KE-MSA,He value law.,Thika,dev-jDhXTHir
T100003434,M100146,2025-07-10 21:46:54,-45217.0,CASH,MOBILE,Fitzgerald PLC,KE-NKR,Prove professional city.,Kisumu,dev-qQwNFT
T100003435,M100146,2025-09-22 18:24:08,217098.0,CARD,FIXED,Chapman Inc,KE-THK,Bill focus option per bill bill.,Mombasa,dev-ZRgcGQm
T100003436,M100146,2025-07-26 03:49:25,207815.0,CASH,SAVINGS,Curtis Group,KE-THK,Speech since her state home without.,Mombasa,dev-FoqmAJ
T100003437,M100146,2025-10-21 23:35:25,45809.0,CASH,MOBILE,"Miller, Scott and House",KE-MSA,Official car resource their me.,Kisumu,dev-sluGsLn
T100003438,M100146,2025-09-17 01:15:11,223665.0,TELLER,SAVINGS,Malone Inc,KE-NKR,Staff service important say difficult listen.,Nyeri,dev-UWxFmc
T100003439,M100146,2025-03-06 03:44:53,813782.0,MOBILE,LOAN,"Bailey, Hart and Baker",KE-NKR,Future direction hit price unit.,Nairobi HQ,dev-LkgWHDIG
T100003440,M100146,2025-06-02 10:04:43,-25803.0,AGENT,FIXED,Morales Group,KE-MSA,Friend as plant.,Nyeri,dev-QAnxEVW
T100003441,M100146,2025-05-17 00:54:45,-161950.0,CARD,FIXED,Scott-Bridges,KE-MSA,Decade fire time next lot talk.,Thika,dev-YtHDxNR
T100003442,M100146,2025-08-31 23:08:28,-114236.0,CASH,SAVINGS,"Miller, Baker and Lopez",KE-NRB,Song son claim.,Nairobi HQ,dev-JqQHCWIW
T100003443,M100146,2025-03-19 09:54:18,-48046.0,MOBILE,LOAN,Peters Group,KE-NRB,Put region thought recent article black.,Thika,dev-hCIDGJ
T100003444,M100146,2025-08-12 08:56:38,448433.0,CARD,CURRENT,"Castro, Pierce and Wheeler",KE-EDL,Miss court mean travel.,Mombasa,dev-aMYWjKel
T100003445,M100146,2025-03-17 04:27:05,-289040.0,CASH,CURRENT,"Hall, Bean and Johnson",KE-MSA,Firm week daughter.,Kisumu,dev-aUOIHind
T100003446,M100146,2025-03-18 16:30:27,66748.0,TELLER,MOBILE,Weber-Marshall,KE-KSM,Interesting before operation bit contain who.,Mombasa,dev-SXQnBPm
T100003447,M100146,2025-10-08 05:08:53,179165.0,MOBILE,CURRENT,Sanchez Group,KE-NYR,Ago likely away behind participant.,Thika,dev-EYqjlkV
T100003448,M100146,2025-07-19 07:42:39,91631.0,CARD,FIXED,"Allen, Garrett and Wong",KE-THK,Make service method almost fish cut.,Thika,dev-JDhvVmV
T100003449,M100147,2025-07-14 05:59:08,964911.0,MOBILE,CURRENT,Nunez Inc,KE-THK,Probably training support movement picture.,Mombasa,dev-DbEwrdps
T100003450,M100147,2025-07-05 05:07:00,165273.0,AGENT,SAVINGS,Wade Inc,KE-MSA,While power determine.,Nakuru,dev-GUwYgYU
T100003451,M100147,2025-08-04 13:35:22,-168006.0,CASH,FIXED,Anderson-Blankenship,KE-NYR,As think itself.,Thika,dev-szOFgCic
T100003452,M100147,2025-07-07 09:08:48,163100.0,AGENT,SAVINGS,Cooley Inc,KE-KSM,overnight activity,Nyeri,dev-uWtYiU
T100003453,M100147,2025-06-28 10:04:18,-559795.0,CASH,MOBILE,Nguyen-Davila,KE-THK,Skill generation unit.,Thika,dev-cwePmD
T100003454,M100147,2025-02-17 11:42:16,1047805.0,TELLER,SAVINGS,Walker-Cummings,KE-NYR,Car play rest gas minute.,Nyeri,dev-OKFXPf
T100003455,M100147,2025-07-23 18:58:51,-55532.0,MOBILE,LOAN,Wagner Ltd,KE-NRB,As several would bad him.,Kisumu,dev-WFkdQvX
T100003456,M100147,2025-07-07 04:23:20,-162038.0,MOBILE,FIXED,Stewart Group,KE-KSM,Bit lose control meeting.,Nyeri,dev-vnQSWaO
T100003457,M100147,2025-10-04 12:26:42,228421.0,TELLER,MOBILE,"Thompson, Thompson and Cole",KE-NRB,South add inside piece improve during.,Nakuru,dev-wdMzmShN
T100003458,M100147,2025-09-17 23:40:03,-289772.0,AGENT,SAVINGS,White-Jennings,KE-THK,Fire its material measure activity weight.,Mombasa,dev-XoBynaI
T100003459,M100147,2025-10-04 11:23:40,-68259.0,CASH,MOBILE,Medina Ltd,KE-THK,More seat business head newspaper beautiful.,Mombasa,dev-GQiuXh
T100003460,M100147,2025-07-13 15:00:34,-116516.0,MOBILE,FIXED,Shea-Price,KE-NRB,Big commercial now win.,Nyeri,dev-XHmWKcP
T100003461,M100147,2025-08-25 19:20:50,160155.0,TELLER,CURRENT,"Walters, Lyons and Perez",KE-THK,Interesting part forward seat professional behind.,Kisumu,dev-OrnEeP
T100003462,M100147,2025-06-05 23:50:17,141587.0,MOBILE,FIXED,Johnson Inc,KE-THK,With front ten side.,Eldoret,dev-ERspLAcR
T100003463,M100147,2025-08-08 08:31:26,727520.0,AGENT,SAVINGS,Estrada LLC,KE-MSA,Something same oil first include.,Thika,dev-GijWIlO
T100003464,M100147,2025-07-02 13:44:26,-87293.0,TELLER,LOAN,Harris-Romero,KE-NRB,Low season turn talk six.,Nakuru,dev-RDreIv
T100003465,M100147,2025-08-18 11:39:53,-211647.0,CARD,MOBILE,Lawrence Group,KE-NYR,Executive send scientist never.,Mombasa,dev-HcZvTL
T100003466,M100147,2025-03-15 18:18:01,100515.0,TELLER,SAVINGS,Brown-Wilson,KE-THK,Hundred law quite back issue.,Nakuru,dev-QxaeuQbF
T100003467,M100147,2025-10-14 05:03:37,703335.0,AGENT,LOAN,Vang-James,KE-NRB,Hour me present.,Thika,dev-eWaCknp
T100003468,M100147,2025-04-07 05:46:39,111688.0,MOBILE,CURRENT,"Reed, Davis and Miller",KE-KSM,Network often pick meeting top task.,Nakuru,dev-CXfKWM
T100003469,M100147,2025-07-12 10:21:52,-430096.0,CARD,SAVINGS,Jenkins Inc,KE-KSM,Civil available from employee similar.,Kisumu,dev-UKTdoMrk
T100003470,M100147,2025-06-18 00:57:44,65401.0,MOBILE,CURRENT,Davis-Sanders,KE-MSA,Begin arm threat next society.,Eldoret,dev-tJiDhf
T100003471,M100147,2025-08-27 18:14:08,297426.0,TELLER,SAVINGS,Williamson-Watkins,KE-NKR,Suddenly add save wife hour picture that.,Kisumu,dev-gicGrUTm
T100003472,M100147,2025-05-29 15:11:32,1145948.0,TELLER,LOAN,"Wallace, Martinez and Galvan",KE-THK,We degree program education.,Nakuru,dev-AVUyNKXZ
T100003473,M100147,2025-10-22 08:20:56,541882.0,CARD,CURRENT,Chase-Hughes,KE-THK,Hard great mouth significant later current.,Kisumu,dev-QBvGEDiP
T100003474,M100148,2025-09-15 14:55:22,408288.0,CARD,SAVINGS,Thomas-Allen,KE-THK,Actually identify production reality finish.,Eldoret,dev-kKstlio
T100003475,M100148,2025-05-12 03:09:37,154320.0,CARD,FIXED,"Morris, Fletcher and Vang",KE-EDL,Continue fund option appear tend phone.,Thika,dev-YSHSpBKu
T100003476,M100148,2025-09-16 21:42:16,127819.0,AGENT,LOAN,Frazier PLC,KE-KSM,So low thousand item page.,Nyeri,dev-VMVZjkm
T100003477,M100148,2025-09-12 10:12:01,-88962.0,TELLER,LOAN,Peters-Dalton,KE-NRB,Ball per partner system whether.,Mombasa,dev-YRsplan
T100003478,M100148,2025-10-19 05:27:35,-162761.0,CASH,MOBILE,Andrade-Mitchell,KE-NKR,Plan lead thank cut.,Nakuru,dev-ifLjfP
T100003479,M100148,2025-07-02 22:53:22,-180687.0,CASH,MOBILE,Palmer-Cisneros,KE-NRB,Them parent plan.,Mombasa,dev-myyDmK
T100003480,M100148,2025-09-19 02:06:33,149363.0,MOBILE,SAVINGS,Bell Ltd,KE-NYR,Respond hold blue born say.,Nairobi HQ,dev-pucnZmX
T100003481,M100148,2025-03-20 10:05:43,473834.0,MOBILE,LOAN,George and Sons,KE-THK,Character able what.,Thika,dev-HkRkCUO
T100003482,M100148,2025-07-10 11:49:48,-569046.0,CASH,LOAN,"Johnson, Torres and Davenport",KE-KSM,Teacher cultural forward fire.,Nairobi HQ,dev-iOoIPLl
T100003483,M100148,2025-10-26 15:11:51,173162.0,CARD,LOAN,Cruz-Morris,KE-THK,Write range entire seven woman its.,Nakuru,dev-lmaBay
T100003484,M100148,2025-01-31 15:07:16,236641.0,CARD,CURRENT,Reynolds-Higgins,KE-EDL,We word kind crime voice hope.,Kisumu,dev-mTBHSFx
T100003485,M100148,2025-04-13 18:58:43,261283.0,CARD,LOAN,Bradley-Frey,KE-NKR,Thought side large same continue animal.,Nakuru,dev-mxFAiDaV
